title,model,field_published_stock_code,field_product_type,field_product_category,field_product_series,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_inside_dia_tole_bd_spe_in,field_inside_dia_tole_in,field_inside_dia_tole_mm,field_inside_dia_tole_cm,field_appr_num_coil_buld_spec_in,field_appr_num_coils_per_in,field_appr_num_coils_per_mm,field_appr_num_coils_per_cm,field_stiffness_build_spec_lb_in,field_stiffness_lb_in,field_stiffness_n_mm,field_stiffness_n_cm,field_stiffness_kg_mm,field_stiffness_kg_cm,field_stiffness_gm_mm,field_stiffness_gm_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_direction_of_wind,field_total_coils_bd_spe,field_total_coils,field_finish,field_weight_per_item_lb
LEC022C 24 S,LEC022C 24 S,LEC022C24S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.25,0.25,6.35,0.635,+/-0.005,+/-0.005,+/-0.13,+/-0.013,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,0.0909,0.091,0.01592,0.1592,0.00162,0.0162,1.62,16.2,+/-0.009,+/-0.009,+/-0.00158,+/-0.0158,+/-0.00016,+/-0.0016,+/-0.161,+/-1.61,0.206,0.206,5.23,0.523,Reference,Reference,Reference,Reference,45.455,45.4,1.8,17.9,24.706,24.7,141.1,1411,0.441,4.41,441,4410,0.022,0.022,0.56,0.056,0.1666,0.17,0.74,0.076,76,+/-0.033,+/-0.033,+/-0.147,+/-0.015,+/-15,Right Hand,1089.909,1090,Natural,0.090508
LEC022C 36 M,LEC022C 36 M,LEC022C36M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.25,0.25,6.35,0.635,+/-0.005,+/-0.005,+/-0.13,+/-0.013,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.1091,0.109,0.01911,0.1911,0.00195,0.0195,1.95,19.5,+/-0.011,+/-0.011,+/-0.00193,+/-0.0193,+/-0.0002,+/-0.002,+/-0.196,+/-1.96,0.206,0.206,5.23,0.523,Reference,Reference,Reference,Reference,45.455,45.4,1.8,17.9,29.647,29.6,169.3,1693,0.529,5.29,529,5290,0.022,0.022,0.56,0.056,0.2,0.2,0.89,0.091,91,+/-0.04,+/-0.04,+/-0.178,+/-0.018,+/-18,Right Hand,1635.3636,1635,Light Oil Coat,0.133184
LEC022C 36 S,LEC022C 36 S,LEC022C36S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.25,0.25,6.35,0.635,+/-0.005,+/-0.005,+/-0.13,+/-0.013,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.0909,0.091,0.01592,0.1592,0.00162,0.0162,1.62,16.2,+/-0.009,+/-0.009,+/-0.00158,+/-0.0158,+/-0.00016,+/-0.0016,+/-0.161,+/-1.61,0.206,0.206,5.23,0.523,Reference,Reference,Reference,Reference,45.455,45.4,1.8,17.9,24.706,24.7,141.1,1411,0.441,4.41,441,4410,0.022,0.022,0.56,0.056,0.1666,0.17,0.74,0.076,76,+/-0.033,+/-0.033,+/-0.147,+/-0.015,+/-15,Right Hand,1635.3636,1635,Natural,0.135721
LEC026C 12 M,LEC026C 12 M,LEC026C12M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.25,0.25,6.35,0.635,+/-0.005,+/-0.005,+/-0.13,+/-0.013,12,12,305,30.5,+/-0.24,+/-0.24,+/-6,+/-0.6,0.2654,0.265,0.04648,0.4648,0.00474,0.0474,4.74,47.4,+/-0.027,+/-0.027,+/-0.00473,+/-0.0473,+/-0.00048,+/-0.0048,+/-0.482,+/-4.82,0.198,0.198,5.03,0.503,Reference,Reference,Reference,Reference,38.462,38.4,1.5,15.1,60.987,61,348.2,3482,1.089,10.89,1089,10890,0.026,0.026,0.66,0.066,0.4,0.4,1.78,0.181,181,+/-0.08,+/-0.08,+/-0.356,+/-0.036,+/-36,Right Hand,460.5384,461,Light Oil Coat,0.051626
LEC026C 12 S,LEC026C 12 S,LEC026C12S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.25,0.25,6.35,0.635,+/-0.005,+/-0.005,+/-0.13,+/-0.013,12,12,305,30.5,+/-0.24,+/-0.24,+/-6,+/-0.6,0.2211,0.221,0.03872,0.3872,0.00395,0.0395,3.95,39.5,+/-0.022,+/-0.022,+/-0.00385,+/-0.0385,+/-0.00039,+/-0.0039,+/-0.393,+/-3.93,0.198,0.198,5.03,0.503,Reference,Reference,Reference,Reference,38.462,38.4,1.5,15.1,50.823,50.8,290.2,2902,0.908,9.08,908,9080,0.026,0.026,0.66,0.066,0.3332,0.33,1.48,0.151,151,+/-0.067,+/-0.067,+/-0.298,+/-0.03,+/-30,Right Hand,460.5384,461,Natural,0.052609
LEC026C 24 M,LEC026C 24 M,LEC026C24M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.25,0.25,6.35,0.635,+/-0.005,+/-0.005,+/-0.13,+/-0.013,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,0.2654,0.265,0.04648,0.4648,0.00474,0.0474,4.74,47.4,+/-0.027,+/-0.027,+/-0.00473,+/-0.0473,+/-0.00048,+/-0.0048,+/-0.482,+/-4.82,0.198,0.198,5.03,0.503,Reference,Reference,Reference,Reference,38.462,38.4,1.5,15.1,60.987,61,348.2,3482,1.089,10.89,1089,10890,0.026,0.026,0.66,0.066,0.4,0.4,1.78,0.181,181,+/-0.08,+/-0.08,+/-0.356,+/-0.036,+/-36,Right Hand,922.0769,922,Light Oil Coat,0.103141
LEC026C 24 S,LEC026C 24 S,LEC026C24S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.25,0.25,6.35,0.635,+/-0.005,+/-0.005,+/-0.13,+/-0.013,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,0.2211,0.221,0.03872,0.3872,0.00395,0.0395,3.95,39.5,+/-0.022,+/-0.022,+/-0.00385,+/-0.0385,+/-0.00039,+/-0.0039,+/-0.393,+/-3.93,0.198,0.198,5.03,0.503,Reference,Reference,Reference,Reference,38.462,38.4,1.5,15.1,50.823,50.8,290.2,2902,0.908,9.08,908,9080,0.026,0.026,0.66,0.066,0.3332,0.33,1.48,0.151,151,+/-0.067,+/-0.067,+/-0.298,+/-0.03,+/-30,Right Hand,922.0769,922,Natural,0.105105
LEC026C 36 M,LEC026C 36 M,LEC026C36M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.25,0.25,6.35,0.635,+/-0.005,+/-0.005,+/-0.13,+/-0.013,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.2654,0.265,0.04648,0.4648,0.00474,0.0474,4.74,47.4,+/-0.027,+/-0.027,+/-0.00473,+/-0.0473,+/-0.00048,+/-0.0048,+/-0.482,+/-4.82,0.198,0.198,5.03,0.503,Reference,Reference,Reference,Reference,38.462,38.4,1.5,15.1,60.987,61,348.2,3482,1.089,10.89,1089,10890,0.026,0.026,0.66,0.066,0.4,0.4,1.78,0.181,181,+/-0.08,+/-0.08,+/-0.356,+/-0.036,+/-36,Right Hand,1383.6153,1384,Light Oil Coat,0.154655
LEC026C 36 S,LEC026C 36 S,LEC026C36S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.25,0.25,6.35,0.635,+/-0.005,+/-0.005,+/-0.13,+/-0.013,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.2211,0.221,0.03872,0.3872,0.00395,0.0395,3.95,39.5,+/-0.022,+/-0.022,+/-0.00385,+/-0.0385,+/-0.00039,+/-0.0039,+/-0.393,+/-3.93,0.198,0.198,5.03,0.503,Reference,Reference,Reference,Reference,38.462,38.4,1.5,15.1,50.823,50.8,290.2,2902,0.908,9.08,908,9080,0.026,0.026,0.66,0.066,0.3332,0.33,1.48,0.151,151,+/-0.067,+/-0.067,+/-0.298,+/-0.03,+/-30,Right Hand,1383.6153,1384,Natural,0.157601
LEC026D 12 M,LEC026D 12 M,LEC026D12M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.375,0.375,9.53,0.953,+/-0.01,+/-0.01,+/-0.25,+/-0.025,12,12,305,30.5,+/-0.24,+/-0.24,+/-6,+/-0.6,0.0701,0.07,0.01228,0.1228,0.00125,0.0125,1.25,12.5,+/-0.007,+/-0.007,+/-0.00123,+/-0.0123,+/-0.00013,+/-0.0013,+/-0.125,+/-1.25,0.323,0.323,8.2,0.82,Reference,Reference,Reference,Reference,38.462,38.4,1.5,15.1,16.125,16.1,92.1,921,0.288,2.88,288,2880,0.026,0.026,0.66,0.066,0.22,0.22,0.98,0.1,100,+/-0.044,+/-0.044,+/-0.196,+/-0.02,+/-20,Right Hand,460.5384,461,Light Oil Coat,0.080435
LEC026D 12 S,LEC026D 12 S,LEC026D12S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.375,0.375,9.53,0.953,+/-0.01,+/-0.01,+/-0.25,+/-0.025,12,12,305,30.5,+/-0.24,+/-0.24,+/-6,+/-0.6,0.0584,0.058,0.01023,0.1023,0.00104,0.0104,1.04,10.4,+/-0.006,+/-0.006,+/-0.00105,+/-0.0105,+/-0.00011,+/-0.0011,+/-0.107,+/-1.07,0.323,0.323,8.2,0.82,Reference,Reference,Reference,Reference,38.462,38.4,1.5,15.1,13.438,13.4,76.7,767,0.24,2.4,240,2400,0.026,0.026,0.66,0.066,0.1832,0.18,0.81,0.083,83,+/-0.037,+/-0.037,+/-0.165,+/-0.017,+/-17,Right Hand,460.5384,461,Natural,0.081967
LEC026D 24 M,LEC026D 24 M,LEC026D24M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.375,0.375,9.53,0.953,+/-0.01,+/-0.01,+/-0.25,+/-0.025,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,0.0701,0.07,0.01228,0.1228,0.00125,0.0125,1.25,12.5,+/-0.007,+/-0.007,+/-0.00123,+/-0.0123,+/-0.00013,+/-0.0013,+/-0.125,+/-1.25,0.323,0.323,8.2,0.82,Reference,Reference,Reference,Reference,38.462,38.4,1.5,15.1,16.125,16.1,92.1,921,0.288,2.88,288,2880,0.026,0.026,0.66,0.066,0.22,0.22,0.98,0.1,100,+/-0.044,+/-0.044,+/-0.196,+/-0.02,+/-20,Right Hand,922.0769,922,Light Oil Coat,0.160697
LEC026D 24 S,LEC026D 24 S,LEC026D24S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.375,0.375,9.53,0.953,+/-0.01,+/-0.01,+/-0.25,+/-0.025,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,0.0584,0.058,0.01023,0.1023,0.00104,0.0104,1.04,10.4,+/-0.006,+/-0.006,+/-0.00105,+/-0.0105,+/-0.00011,+/-0.0011,+/-0.107,+/-1.07,0.323,0.323,8.2,0.82,Reference,Reference,Reference,Reference,38.462,38.4,1.5,15.1,13.438,13.4,76.7,767,0.24,2.4,240,2400,0.026,0.026,0.66,0.066,0.1832,0.18,0.81,0.083,83,+/-0.037,+/-0.037,+/-0.165,+/-0.017,+/-17,Right Hand,922.0769,922,Natural,0.163757
LEC026D 36 M,LEC026D 36 M,LEC026D36M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.375,0.375,9.53,0.953,+/-0.01,+/-0.01,+/-0.25,+/-0.025,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.0701,0.07,0.01228,0.1228,0.00125,0.0125,1.25,12.5,+/-0.007,+/-0.007,+/-0.00123,+/-0.0123,+/-0.00013,+/-0.0013,+/-0.125,+/-1.25,0.323,0.323,8.2,0.82,Reference,Reference,Reference,Reference,38.462,38.4,1.5,15.1,16.125,16.1,92.1,921,0.288,2.88,288,2880,0.026,0.026,0.66,0.066,0.22,0.22,0.98,0.1,100,+/-0.044,+/-0.044,+/-0.196,+/-0.02,+/-20,Right Hand,1383.6153,1384,Light Oil Coat,0.240958
LEC026D 36 S,LEC026D 36 S,LEC026D36S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.375,0.375,9.53,0.953,+/-0.01,+/-0.01,+/-0.25,+/-0.025,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.0584,0.058,0.01023,0.1023,0.00104,0.0104,1.04,10.4,+/-0.006,+/-0.006,+/-0.00105,+/-0.0105,+/-0.00011,+/-0.0011,+/-0.107,+/-1.07,0.323,0.323,8.2,0.82,Reference,Reference,Reference,Reference,38.462,38.4,1.5,15.1,13.438,13.4,76.7,767,0.24,2.4,240,2400,0.026,0.026,0.66,0.066,0.1832,0.18,0.81,0.083,83,+/-0.037,+/-0.037,+/-0.165,+/-0.017,+/-17,Right Hand,1383.6153,1384,Natural,0.245548
LEC029C 12 M,LEC029C 12 M,LEC029C12M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.25,0.25,6.35,0.635,+/-0.005,+/-0.005,+/-0.13,+/-0.013,12,12,305,30.5,+/-0.24,+/-0.24,+/-6,+/-0.6,0.4773,0.477,0.08359,0.8359,0.00852,0.0852,8.52,85.2,+/-0.048,+/-0.048,+/-0.00841,+/-0.0841,+/-0.00086,+/-0.0086,+/-0.857,+/-8.57,0.192,0.192,4.88,0.488,Reference,Reference,Reference,Reference,34.483,34.4,1.4,13.6,98.289,98.3,561.2,5612,1.755,17.55,1755,17550,0.029,0.029,0.74,0.074,0.55,0.55,2.45,0.249,249,+/-0.11,+/-0.11,+/-0.489,+/-0.05,+/-50,Right Hand,412.7931,413,Light Oil Coat,0.056826
