title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHL 375A 7A,LHL 375A 7A,LHL375A7A,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.347,0.347,8.81,0.881,Reference,Reference,Reference,Reference,0.375,0.375,9.53,0.953,0.188,0.188,4.78,0.478,MIN,MIN,MIN,MIN,4,4,101.6,10.16,0.14,0.14,3.56,0.356,14,14,2.452,24.52,0.25,2.5,250.01,2500.1,1.4,1.4,0.2452,2.452,0.025,0.25,25.001,250.01,1.88,1.88,47.75,4.775,0.052,0.052,1.32,,Music Wire,MW,32.329,32.329,143.81,14.664,14664.43,Squared and Ground,Factory Option,30.51,30.51,Reference,Reference,32.51,32.51,Gray Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.243,0.243,6.17,0.617,Reference,Reference,Reference,Reference,,0.019083
LHL 375A 7B,LHL 375A 7B,LHL375A7B,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.347,0.347,8.81,0.881,Reference,Reference,Reference,Reference,0.375,0.375,9.53,0.953,0.188,0.188,4.78,0.478,MIN,MIN,MIN,MIN,5,5,127,12.7,0.175,0.175,4.45,0.445,11,11,1.926,19.26,0.1964,1.964,196.44,1964.4,1.1,1.1,0.1926,1.926,0.01964,0.1964,19.644,196.44,2.36,2.36,59.94,5.994,0.052,0.052,1.32,,Music Wire,MW,31.641,31.641,140.75,14.352,14352.36,Squared and Ground,Factory Option,38.84,38.84,Reference,Reference,40.84,40.84,Gray Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.243,0.243,6.17,0.617,Reference,Reference,Reference,Reference,,0.023968
LHL 375AB 01,LHL 375AB 01,LHL375AB01,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.34,0.34,8.64,0.864,Reference,Reference,Reference,Reference,0.375,0.375,9.53,0.953,0.188,0.188,4.78,0.478,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.033,0.033,0.84,0.084,73,73,12.785,127.85,1.3036,13.036,1303.63,13036.3,7.3,7.3,1.2785,12.785,0.13036,1.3036,130.363,1303.63,0.57,0.57,14.48,1.448,0.055,0.055,1.4,,Music Wire,MW,31.4,31.4,139.67,14.243,14243.04,Squared and Ground,Factory Option,8.1224,8.1224,Reference,Reference,10.12,10.12,Beige Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.23,0.23,5.84,0.584,Reference,Reference,Reference,Reference,,0.0064325
LHL 375AB 02,LHL 375AB 02,LHL375AB02,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.34,0.34,8.64,0.864,Reference,Reference,Reference,Reference,0.375,0.375,9.53,0.953,0.188,0.188,4.78,0.478,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.039,0.039,0.99,0.099,60,60,10.508,105.08,1.0715,10.715,1071.48,10714.8,6,6,1.0508,10.508,0.10715,1.0715,107.148,1071.48,0.67,0.67,17.02,1.702,0.055,0.055,1.4,,Music Wire,MW,34.8,34.8,154.8,15.785,15785.28,Squared and Ground,Factory Option,9.882,9.882,Reference,Reference,11.88,11.88,Beige Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.23,0.23,5.84,0.584,Reference,Reference,Reference,Reference,,0.00755
LHL 375AB 03,LHL 375AB 03,LHL375AB03,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.34,0.34,8.64,0.864,Reference,Reference,Reference,Reference,0.375,0.375,9.53,0.953,0.188,0.188,4.78,0.478,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.048,0.048,1.22,0.122,52,52,9.107,91.07,0.9286,9.286,928.62,9286.2,5.2,5.2,0.9107,9.107,0.09286,0.9286,92.862,928.62,0.76,0.76,19.3,1.93,0.055,0.055,1.4,,Music Wire,MW,38.5,38.5,171.26,17.464,17463.6,Squared and Ground,Factory Option,11.4026,11.4026,Reference,Reference,13.4,13.4,Beige Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.23,0.23,5.84,0.584,Reference,Reference,Reference,Reference,,0.0085169
LHL 375AB 04,LHL 375AB 04,LHL375AB04,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.34,0.34,8.64,0.864,Reference,Reference,Reference,Reference,0.375,0.375,9.53,0.953,0.188,0.188,4.78,0.478,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.053,0.053,1.35,0.135,46,46,8.056,80.56,0.8215,8.215,821.47,8214.7,4.6,4.6,0.8056,8.056,0.08215,0.8215,82.147,821.47,0.84,0.84,21.34,2.134,0.055,0.055,1.4,,Music Wire,MW,41.9,41.9,186.38,19.006,19005.84,Squared and Ground,Factory Option,12.8899,12.8899,Reference,Reference,14.89,14.89,Beige Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.23,0.23,5.84,0.584,Reference,Reference,Reference,Reference,,0.0094621
LHL 375AB 05,LHL 375AB 05,LHL375AB05,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.34,0.34,8.64,0.864,Reference,Reference,Reference,Reference,0.375,0.375,9.53,0.953,0.188,0.188,4.78,0.478,MIN,MIN,MIN,MIN,2,2,50.8,5.08,0.062,0.062,1.57,0.157,39,39,6.83,68.3,0.6965,6.965,696.46,6964.6,3.9,3.9,0.683,6.83,0.06965,0.6965,69.646,696.46,1.17,1.17,29.72,2.972,0.057,0.057,1.45,,Music Wire,MW,32.4,32.4,144.12,14.697,14696.64,Squared and Ground,Factory Option,17.9129,17.9129,Reference,Reference,19.91,19.91,Beige Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.226,0.226,5.74,0.574,Reference,Reference,Reference,Reference,,0.0134957
LHL 375AB 06,LHL 375AB 06,LHL375AB06,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.34,0.34,8.64,0.864,Reference,Reference,Reference,Reference,0.375,0.375,9.53,0.953,0.188,0.188,4.78,0.478,MIN,MIN,MIN,MIN,2.5,2.5,63.5,6.35,0.088,0.088,2.24,0.224,33,33,5.779,57.79,0.5893,5.893,589.31,5893.1,3.3,3.3,0.5779,5.779,0.05893,0.5893,58.931,589.31,1.36,1.36,34.54,3.454,0.057,0.057,1.45,,Music Wire,MW,37.6,37.6,167.25,17.055,17055.36,Squared and Ground,Factory Option,21.1698,21.1698,Reference,Reference,23.17,23.17,Beige Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.226,0.226,5.74,0.574,Reference,Reference,Reference,Reference,,0.0157031
LHL 375AB 07,LHL 375AB 07,LHL375AB07,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.34,0.34,8.64,0.864,Reference,Reference,Reference,Reference,0.375,0.375,9.53,0.953,0.188,0.188,4.78,0.478,MIN,MIN,MIN,MIN,3,3,76.2,7.62,0.105,0.105,2.67,0.267,24,24,4.203,42.03,0.4286,4.286,428.59,4285.9,2.4,2.4,0.4203,4.203,0.04286,0.4286,42.859,428.59,1.83,1.83,46.48,4.648,0.057,0.057,1.45,,Music Wire,MW,28.1,28.1,125,12.746,12746.16,Squared and Ground,Factory Option,29.1085,29.1085,Reference,Reference,31.11,31.11,Beige Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.226,0.226,5.74,0.574,Reference,Reference,Reference,Reference,,0.0210834
LHL 375AB 08,LHL 375AB 08,LHL375AB08,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.34,0.34,8.64,0.864,Reference,Reference,Reference,Reference,0.375,0.375,9.53,0.953,0.188,0.188,4.78,0.478,MIN,MIN,MIN,MIN,6,6,152.4,15.24,0.175,0.175,4.45,0.445,13,13,2.277,22.77,0.2322,2.322,232.15,2321.5,1.3,1.3,0.2277,2.277,0.02322,0.2322,23.215,232.15,3.4,3.4,86.36,8.636,0.057,0.057,1.45,,Music Wire,MW,33.8,33.8,150.35,15.332,15331.68,Squared and Ground,Factory Option,53.7388,53.7388,Reference,Reference,55.74,55.74,Beige Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.226,0.226,5.74,0.574,Reference,Reference,Reference,Reference,,0.0377763
LHL 375B 01,LHL 375B 01,LHL375B01,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.343,0.343,8.71,0.871,Reference,Reference,Reference,Reference,0.375,0.375,9.53,0.953,0.188,0.188,4.78,0.478,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.033,0.033,0.84,0.084,90,90,15.762,157.62,1.6072,16.072,1607.22,16072.2,9,9,1.5762,15.762,0.16072,1.6072,160.722,1607.22,0.59,0.59,14.99,1.499,0.058,0.058,1.47,,Music Wire,MW,36.9,36.9,164.14,16.738,16737.84,Squared and Ground,Factory Option,8.148,8.148,Reference,Reference,10.15,10.15,Purple Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.227,0.227,5.77,0.577,Reference,Reference,Reference,Reference,,0.007171
LHL 375B 02,LHL 375B 02,LHL375B02,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.337,0.337,8.56,0.856,Reference,Reference,Reference,Reference,0.375,0.375,9.53,0.953,0.188,0.188,4.78,0.478,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.039,0.039,0.99,0.099,73,73,12.785,127.85,1.3036,13.036,1303.63,13036.3,7.3,7.3,1.2785,12.785,0.13036,1.3036,130.363,1303.63,0.73,0.73,18.54,1.854,0.058,0.058,1.47,,Music Wire,MW,38,38,169.03,17.237,17236.8,Squared and Ground,Factory Option,10.7069,10.7069,Reference,Reference,12.71,12.71,Purple Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.221,0.221,5.61,0.561,Reference,Reference,Reference,Reference,,0.0087908
LHL 375B 03,LHL 375B 03,LHL375B03,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.325,0.325,8.26,0.826,Reference,Reference,Reference,Reference,0.375,0.375,9.53,0.953,0.188,0.188,4.78,0.478,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.048,0.048,1.22,0.122,67,67,11.734,117.34,1.1965,11.965,1196.49,11964.9,6.7,6.7,1.1734,11.734,0.11965,1.1965,119.649,1196.49,0.88,0.88,22.35,2.235,0.058,0.058,1.47,,Music Wire,MW,41.5,41.5,184.6,18.824,18824.4,Squared and Ground,Factory Option,13.311,13.311,Reference,Reference,15.31,15.31,Purple Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.209,0.209,5.31,0.531,Reference,Reference,Reference,Reference,,0.010136
LHL 375B 04,LHL 375B 04,LHL375B04,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.33,0.33,8.38,0.838,Reference,Reference,Reference,Reference,0.375,0.375,9.53,0.953,0.188,0.188,4.78,0.478,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.053,0.053,1.35,0.135,58,58,10.158,101.58,1.0358,10.358,1035.76,10357.6,5.8,5.8,1.0158,10.158,0.10358,1.0358,103.576,1035.76,1.04,1.04,26.42,2.642,0.059,0.059,1.5,,Music Wire,MW,41.2,41.2,183.27,18.688,18688.32,Squared and Ground,Factory Option,15.7457,15.7457,Reference,Reference,17.75,17.75,Purple Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.212,0.212,5.38,0.538,Reference,Reference,Reference,Reference,,0.0123394
