stock_code,price_code,price,min,currency,display_price_range
CIM030D 02 S,H,0.775,599,$,500-599
CIM030D 02 S,I,0.711,699,$,600-699
CIM030D 02 S,J,0.657,799,$,700-799
CIM030D 02 S,K,0.612,899,$,800-899
CIM030D 02 S,L,0.577,999,$,900-999
CIM030D 03 M,A,6,19,$,0-19
CIM030D 03 M,B,3.44,49,$,20-49
CIM030D 03 M,C,1.75,99,$,50-99
CIM030D 03 M,D,1.11,199,$,100-199
CIM030D 03 M,E,0.93,299,$,200-299
CIM030D 03 M,F,0.85,399,$,300-399
CIM030D 03 M,G,0.775,499,$,400-499
CIM030D 03 M,H,0.709,599,$,500-599
CIM030D 03 M,I,0.652,699,$,600-699
CIM030D 03 M,J,0.603,799,$,700-799
CIM030D 03 M,K,0.561,899,$,800-899
CIM030D 03 M,L,0.529,999,$,900-999
CIM030D 03 S,A,6.68,19,$,0-19
CIM030D 03 S,B,3.85,49,$,20-49
CIM030D 03 S,C,2.01,99,$,50-99
CIM030D 03 S,D,1.25,199,$,100-199
CIM030D 03 S,E,1.02,299,$,200-299
CIM030D 03 S,F,0.93,399,$,300-399
CIM030D 03 S,G,0.849,499,$,400-499
CIM030D 03 S,H,0.775,599,$,500-599
CIM030D 03 S,I,0.711,699,$,600-699
CIM030D 03 S,J,0.657,799,$,700-799
CIM030D 03 S,K,0.612,899,$,800-899
CIM030D 03 S,L,0.577,999,$,900-999
CIM030D 04 M,A,6,19,$,0-19
CIM030D 04 M,B,3.44,49,$,20-49
CIM030D 04 M,C,1.75,99,$,50-99
CIM030D 04 M,D,1.11,199,$,100-199
CIM030D 04 M,E,0.93,299,$,200-299
CIM030D 04 M,F,0.85,399,$,300-399
CIM030D 04 M,G,0.775,499,$,400-499
CIM030D 04 M,H,0.709,599,$,500-599
CIM030D 04 M,I,0.652,699,$,600-699
CIM030D 04 M,J,0.603,799,$,700-799
CIM030D 04 M,K,0.561,899,$,800-899
CIM030D 04 M,L,0.529,999,$,900-999
CIM030D 04 S,A,6.68,19,$,0-19
CIM030D 04 S,B,3.85,49,$,20-49
CIM030D 04 S,C,2.01,99,$,50-99
CIM030D 04 S,D,1.25,199,$,100-199
CIM030D 04 S,E,1.02,299,$,200-299
CIM030D 04 S,F,0.93,399,$,300-399
CIM030D 04 S,G,0.849,499,$,400-499
CIM030D 04 S,H,0.775,599,$,500-599
CIM030D 04 S,I,0.711,699,$,600-699
CIM030D 04 S,J,0.657,799,$,700-799
CIM030D 04 S,K,0.612,899,$,800-899
CIM030D 04 S,L,0.577,999,$,900-999
CIM030D 05 M,A,6,19,$,0-19
CIM030D 05 M,B,3.44,49,$,20-49
CIM030D 05 M,C,1.75,99,$,50-99
CIM030D 05 M,D,1.11,199,$,100-199
CIM030D 05 M,E,0.93,299,$,200-299
CIM030D 05 M,F,0.85,399,$,300-399
CIM030D 05 M,G,0.775,499,$,400-499
CIM030D 05 M,H,0.709,599,$,500-599
CIM030D 05 M,I,0.652,699,$,600-699
CIM030D 05 M,J,0.603,799,$,700-799
CIM030D 05 M,K,0.561,899,$,800-899
CIM030D 05 M,L,0.529,999,$,900-999
CIM030D 05 S,A,6.68,19,$,0-19
CIM030D 05 S,B,3.85,49,$,20-49
CIM030D 05 S,C,2.01,99,$,50-99
CIM030D 05 S,D,1.25,199,$,100-199
CIM030D 05 S,E,1.02,299,$,200-299
CIM030D 05 S,F,0.93,399,$,300-399
CIM030D 05 S,G,0.849,499,$,400-499
CIM030D 05 S,H,0.775,599,$,500-599
CIM030D 05 S,I,0.711,699,$,600-699
CIM030D 05 S,J,0.657,799,$,700-799
CIM030D 05 S,K,0.612,899,$,800-899
CIM030D 05 S,L,0.577,999,$,900-999
CIM030D 06 M,A,6,19,$,0-19
CIM030D 06 M,B,3.44,49,$,20-49
CIM030D 06 M,C,1.75,99,$,50-99
CIM030D 06 M,D,1.11,199,$,100-199
CIM030D 06 M,E,0.93,299,$,200-299
CIM030D 06 M,F,0.85,399,$,300-399
CIM030D 06 M,G,0.775,499,$,400-499
CIM030D 06 M,H,0.709,599,$,500-599
CIM030D 06 M,I,0.652,699,$,600-699
CIM030D 06 M,J,0.603,799,$,700-799
CIM030D 06 M,K,0.561,899,$,800-899
CIM030D 06 M,L,0.529,999,$,900-999
CIM030D 06 S,A,6.68,19,$,0-19
CIM030D 06 S,B,3.85,49,$,20-49
CIM030D 06 S,C,2.01,99,$,50-99
CIM030D 06 S,D,1.25,199,$,100-199
CIM030D 06 S,E,1.02,299,$,200-299
CIM030D 06 S,F,0.93,399,$,300-399
CIM030D 06 S,G,0.849,499,$,400-499
CIM030D 06 S,H,0.775,599,$,500-599
CIM030D 06 S,I,0.711,699,$,600-699
CIM030D 06 S,J,0.657,799,$,700-799
CIM030D 06 S,K,0.612,899,$,800-899
CIM030D 06 S,L,0.577,999,$,900-999
CIM030D 07 M,A,6,19,$,0-19
CIM030D 07 M,B,3.44,49,$,20-49
CIM030D 07 M,C,1.75,99,$,50-99
CIM030D 07 M,D,1.11,199,$,100-199
CIM030D 07 M,E,0.93,299,$,200-299
CIM030D 07 M,F,0.85,399,$,300-399
CIM030D 07 M,G,0.775,499,$,400-499
CIM030D 07 M,H,0.709,599,$,500-599
CIM030D 07 M,I,0.652,699,$,600-699
CIM030D 07 M,J,0.603,799,$,700-799
CIM030D 07 M,K,0.561,899,$,800-899
CIM030D 07 M,L,0.529,999,$,900-999
CIM030D 07 S,A,6.68,19,$,0-19
CIM030D 07 S,B,3.85,49,$,20-49
CIM030D 07 S,C,2.01,99,$,50-99
CIM030D 07 S,D,1.25,199,$,100-199
CIM030D 07 S,E,1.02,299,$,200-299
CIM030D 07 S,F,0.93,399,$,300-399
CIM030D 07 S,G,0.849,499,$,400-499
CIM030D 07 S,H,0.775,599,$,500-599
CIM030D 07 S,I,0.711,699,$,600-699
CIM030D 07 S,J,0.657,799,$,700-799
CIM030D 07 S,K,0.612,899,$,800-899
CIM030D 07 S,L,0.577,999,$,900-999
CIM030D 08 M,A,6,19,$,0-19
CIM030D 08 M,B,3.44,49,$,20-49
CIM030D 08 M,C,1.75,99,$,50-99
CIM030D 08 M,D,1.11,199,$,100-199
CIM030D 08 M,E,0.93,299,$,200-299
CIM030D 08 M,F,0.85,399,$,300-399
CIM030D 08 M,G,0.775,499,$,400-499
CIM030D 08 M,H,0.709,599,$,500-599
CIM030D 08 M,I,0.652,699,$,600-699
CIM030D 08 M,J,0.603,799,$,700-799
CIM030D 08 M,K,0.561,899,$,800-899
CIM030D 08 M,L,0.529,999,$,900-999
CIM030D 08 S,A,6.68,19,$,0-19
CIM030D 08 S,B,3.85,49,$,20-49
CIM030D 08 S,C,2.01,99,$,50-99
CIM030D 08 S,D,1.25,199,$,100-199
CIM030D 08 S,E,1.02,299,$,200-299
CIM030D 08 S,F,0.93,399,$,300-399
CIM030D 08 S,G,0.849,499,$,400-499
CIM030D 08 S,H,0.775,599,$,500-599
CIM030D 08 S,I,0.711,699,$,600-699
CIM030D 08 S,J,0.657,799,$,700-799
CIM030D 08 S,K,0.612,899,$,800-899
CIM030D 08 S,L,0.577,999,$,900-999
CIM030D 09 M,A,6,19,$,0-19
CIM030D 09 M,B,3.44,49,$,20-49
CIM030D 09 M,C,1.75,99,$,50-99
CIM030D 09 M,D,1.11,199,$,100-199
CIM030D 09 M,E,0.93,299,$,200-299
CIM030D 09 M,F,0.85,399,$,300-399
CIM030D 09 M,G,0.775,499,$,400-499
CIM030D 09 M,H,0.709,599,$,500-599
CIM030D 09 M,I,0.652,699,$,600-699
CIM030D 09 M,J,0.603,799,$,700-799
CIM030D 09 M,K,0.561,899,$,800-899
CIM030D 09 M,L,0.529,999,$,900-999
CIM030D 09 S,A,6.68,19,$,0-19
CIM030D 09 S,B,3.85,49,$,20-49
CIM030D 09 S,C,2.01,99,$,50-99
CIM030D 09 S,D,1.25,199,$,100-199
CIM030D 09 S,E,1.02,299,$,200-299
CIM030D 09 S,F,0.93,399,$,300-399
CIM030D 09 S,G,0.849,499,$,400-499
CIM030D 09 S,H,0.775,599,$,500-599
CIM030D 09 S,I,0.711,699,$,600-699
CIM030D 09 S,J,0.657,799,$,700-799
CIM030D 09 S,K,0.612,899,$,800-899
CIM030D 09 S,L,0.577,999,$,900-999
CIM030D 10 M,A,6,19,$,0-19
CIM030D 10 M,B,3.44,49,$,20-49
CIM030D 10 M,C,1.75,99,$,50-99
CIM030D 10 M,D,1.11,199,$,100-199
CIM030D 10 M,E,0.93,299,$,200-299
CIM030D 10 M,F,0.85,399,$,300-399
CIM030D 10 M,G,0.775,499,$,400-499
CIM030D 10 M,H,0.709,599,$,500-599
CIM030D 10 M,I,0.652,699,$,600-699
CIM030D 10 M,J,0.603,799,$,700-799
CIM030D 10 M,K,0.561,899,$,800-899
CIM030D 10 M,L,0.529,999,$,900-999
CIM030D 10 S,A,6.68,19,$,0-19
CIM030D 10 S,B,3.85,49,$,20-49
CIM030D 10 S,C,2.01,99,$,50-99
CIM030D 10 S,D,1.25,199,$,100-199
CIM030D 10 S,E,1.02,299,$,200-299
CIM030D 10 S,F,0.93,399,$,300-399
CIM030D 10 S,G,0.849,499,$,400-499
CIM030D 10 S,H,0.775,599,$,500-599
CIM030D 10 S,I,0.711,699,$,600-699
CIM030D 10 S,J,0.657,799,$,700-799
CIM030D 10 S,K,0.612,899,$,800-899
CIM030D 10 S,L,0.577,999,$,900-999
CIM032BB 01S,A,6.68,19,$,0-19
CIM032BB 01S,B,3.85,49,$,20-49
CIM032BB 01S,C,2.01,99,$,50-99
CIM032BB 01S,D,1.25,199,$,100-199
CIM032BB 01S,E,1.02,299,$,200-299
CIM032BB 01S,F,0.93,399,$,300-399
CIM032BB 01S,G,0.849,499,$,400-499
CIM032BB 01S,H,0.775,599,$,500-599
CIM032BB 01S,I,0.711,699,$,600-699
CIM032BB 01S,J,0.657,799,$,700-799
CIM032BB 01S,K,0.612,899,$,800-899
CIM032BB 01S,L,0.577,999,$,900-999
CIM032BB 02S,A,6.68,19,$,0-19
CIM032BB 02S,B,3.85,49,$,20-49
CIM032BB 02S,C,2.01,99,$,50-99
CIM032BB 02S,D,1.25,199,$,100-199
CIM032BB 02S,E,1.02,299,$,200-299
CIM032BB 02S,F,0.93,399,$,300-399
CIM032BB 02S,G,0.849,499,$,400-499
CIM032BB 02S,H,0.775,599,$,500-599
CIM032BB 02S,I,0.711,699,$,600-699
CIM032BB 02S,J,0.657,799,$,700-799
CIM032BB 02S,K,0.612,899,$,800-899
CIM032BB 02S,L,0.577,999,$,900-999
CIM032BB 03S,A,6.68,19,$,0-19
CIM032BB 03S,B,3.85,49,$,20-49
CIM032BB 03S,C,2.01,99,$,50-99
CIM032BB 03S,D,1.25,199,$,100-199
CIM032BB 03S,E,1.02,299,$,200-299
CIM032BB 03S,F,0.93,399,$,300-399
CIM032BB 03S,G,0.849,499,$,400-499
CIM032BB 03S,H,0.775,599,$,500-599
CIM032BB 03S,I,0.711,699,$,600-699
CIM032BB 03S,J,0.657,799,$,700-799
CIM032BB 03S,K,0.612,899,$,800-899
CIM032BB 03S,L,0.577,999,$,900-999
CIM032BB 04S,A,6.68,19,$,0-19
CIM032BB 04S,B,3.85,49,$,20-49
CIM032BB 04S,C,2.01,99,$,50-99
CIM032BB 04S,D,1.25,199,$,100-199
CIM032BB 04S,E,1.02,299,$,200-299
CIM032BB 04S,F,0.93,399,$,300-399
CIM032BB 04S,G,0.849,499,$,400-499
CIM032BB 04S,H,0.775,599,$,500-599
CIM032BB 04S,I,0.711,699,$,600-699
CIM032BB 04S,J,0.657,799,$,700-799
CIM032BB 04S,K,0.612,899,$,800-899
CIM032BB 04S,L,0.577,999,$,900-999
CIM032BB 05S,A,6.68,19,$,0-19
CIM032BB 05S,B,3.85,49,$,20-49
CIM032BB 05S,C,2.01,99,$,50-99
CIM032BB 05S,D,1.25,199,$,100-199
CIM032BB 05S,E,1.02,299,$,200-299
CIM032BB 05S,F,0.93,399,$,300-399
CIM032BB 05S,G,0.849,499,$,400-499
CIM032BB 05S,H,0.775,599,$,500-599
CIM032BB 05S,I,0.711,699,$,600-699
CIM032BB 05S,J,0.657,799,$,700-799
CIM032BB 05S,K,0.612,899,$,800-899
CIM032BB 05S,L,0.577,999,$,900-999
CIM032CC 01S,A,6.68,19,$,0-19
CIM032CC 01S,B,3.85,49,$,20-49
CIM032CC 01S,C,2.01,99,$,50-99
CIM032CC 01S,D,1.25,199,$,100-199
CIM032CC 01S,E,1.02,299,$,200-299
CIM032CC 01S,F,0.93,399,$,300-399
CIM032CC 01S,G,0.849,499,$,400-499
CIM032CC 01S,H,0.775,599,$,500-599
CIM032CC 01S,I,0.711,699,$,600-699
CIM032CC 01S,J,0.657,799,$,700-799
CIM032CC 01S,K,0.612,899,$,800-899
CIM032CC 01S,L,0.577,999,$,900-999
CIM032CC 02S,A,6.68,19,$,0-19
CIM032CC 02S,B,3.85,49,$,20-49
CIM032CC 02S,C,2.01,99,$,50-99
CIM032CC 02S,D,1.25,199,$,100-199
CIM032CC 02S,E,1.02,299,$,200-299
CIM032CC 02S,F,0.93,399,$,300-399
CIM032CC 02S,G,0.849,499,$,400-499
CIM032CC 02S,H,0.775,599,$,500-599
CIM032CC 02S,I,0.711,699,$,600-699
CIM032CC 02S,J,0.657,799,$,700-799
CIM032CC 02S,K,0.612,899,$,800-899
CIM032CC 02S,L,0.577,999,$,900-999
CIM032CC 03S,A,6.68,19,$,0-19
CIM032CC 03S,B,3.85,49,$,20-49
CIM032CC 03S,C,2.01,99,$,50-99
CIM032CC 03S,D,1.25,199,$,100-199
CIM032CC 03S,E,1.02,299,$,200-299
CIM032CC 03S,F,0.93,399,$,300-399
CIM032CC 03S,G,0.849,499,$,400-499
CIM032CC 03S,H,0.775,599,$,500-599
CIM032CC 03S,I,0.711,699,$,600-699
CIM032CC 03S,J,0.657,799,$,700-799
CIM032CC 03S,K,0.612,899,$,800-899
CIM032CC 03S,L,0.577,999,$,900-999
CIM032CC 04S,A,6.68,19,$,0-19
CIM032CC 04S,B,3.85,49,$,20-49
CIM032CC 04S,C,2.01,99,$,50-99
CIM032CC 04S,D,1.25,199,$,100-199
CIM032CC 04S,E,1.02,299,$,200-299
CIM032CC 04S,F,0.93,399,$,300-399
CIM032CC 04S,G,0.849,499,$,400-499
CIM032CC 04S,H,0.775,599,$,500-599
CIM032CC 04S,I,0.711,699,$,600-699
CIM032CC 04S,J,0.657,799,$,700-799
CIM032CC 04S,K,0.612,899,$,800-899
CIM032CC 04S,L,0.577,999,$,900-999
CIM032CC 05S,A,6.68,19,$,0-19
CIM032CC 05S,B,3.85,49,$,20-49
CIM032CC 05S,C,2.01,99,$,50-99
CIM032CC 05S,D,1.25,199,$,100-199
CIM032CC 05S,E,1.02,299,$,200-299
CIM032CC 05S,F,0.93,399,$,300-399
CIM032CC 05S,G,0.849,499,$,400-499
CIM032CC 05S,H,0.775,599,$,500-599
CIM032CC 05S,I,0.711,699,$,600-699
CIM032CC 05S,J,0.657,799,$,700-799
CIM032CC 05S,K,0.612,899,$,800-899
CIM032CC 05S,L,0.577,999,$,900-999
CIM032DB 01S,A,6.68,19,$,0-19
CIM032DB 01S,B,3.85,49,$,20-49
CIM032DB 01S,C,2.01,99,$,50-99
CIM032DB 01S,D,1.25,199,$,100-199
CIM032DB 01S,E,1.02,299,$,200-299
CIM032DB 01S,F,0.93,399,$,300-399
CIM032DB 01S,G,0.849,499,$,400-499
CIM032DB 01S,H,0.775,599,$,500-599
CIM032DB 01S,I,0.711,699,$,600-699
CIM032DB 01S,J,0.657,799,$,700-799
CIM032DB 01S,K,0.612,899,$,800-899
CIM032DB 01S,L,0.577,999,$,900-999
CIM032DB 02S,A,6.68,19,$,0-19
CIM032DB 02S,B,3.85,49,$,20-49
CIM032DB 02S,C,2.01,99,$,50-99
CIM032DB 02S,D,1.25,199,$,100-199
CIM032DB 02S,E,1.02,299,$,200-299
CIM032DB 02S,F,0.93,399,$,300-399
CIM032DB 02S,G,0.849,499,$,400-499
CIM032DB 02S,H,0.775,599,$,500-599
CIM032DB 02S,I,0.711,699,$,600-699
CIM032DB 02S,J,0.657,799,$,700-799
CIM032DB 02S,K,0.612,899,$,800-899
CIM032DB 02S,L,0.577,999,$,900-999
CIM032DB 03S,A,6.68,19,$,0-19
CIM032DB 03S,B,3.85,49,$,20-49
CIM032DB 03S,C,2.01,99,$,50-99
CIM032DB 03S,D,1.25,199,$,100-199
CIM032DB 03S,E,1.02,299,$,200-299
CIM032DB 03S,F,0.93,399,$,300-399
CIM032DB 03S,G,0.849,499,$,400-499
CIM032DB 03S,H,0.775,599,$,500-599
CIM032DB 03S,I,0.711,699,$,600-699
CIM032DB 03S,J,0.657,799,$,700-799
CIM032DB 03S,K,0.612,899,$,800-899
CIM032DB 03S,L,0.577,999,$,900-999
CIM032DB 04S,A,6.68,19,$,0-19
CIM032DB 04S,B,3.85,49,$,20-49
CIM032DB 04S,C,2.01,99,$,50-99
CIM032DB 04S,D,1.25,199,$,100-199
CIM032DB 04S,E,1.02,299,$,200-299
CIM032DB 04S,F,0.93,399,$,300-399
CIM032DB 04S,G,0.849,499,$,400-499
CIM032DB 04S,H,0.775,599,$,500-599
CIM032DB 04S,I,0.711,699,$,600-699
CIM032DB 04S,J,0.657,799,$,700-799
CIM032DB 04S,K,0.612,899,$,800-899
CIM032DB 04S,L,0.577,999,$,900-999
CIM032DB 05S,A,6.68,19,$,0-19
CIM032DB 05S,B,3.85,49,$,20-49
CIM032DB 05S,C,2.01,99,$,50-99
CIM032DB 05S,D,1.25,199,$,100-199
CIM032DB 05S,E,1.02,299,$,200-299
CIM032DB 05S,F,0.93,399,$,300-399
CIM032DB 05S,G,0.849,499,$,400-499
CIM032DB 05S,H,0.775,599,$,500-599
CIM032DB 05S,I,0.711,699,$,600-699
CIM032DB 05S,J,0.657,799,$,700-799
CIM032DB 05S,K,0.612,899,$,800-899
CIM032DB 05S,L,0.577,999,$,900-999
CIM032DF 01S,A,6.68,19,$,0-19
CIM032DF 01S,B,3.85,49,$,20-49
CIM032DF 01S,C,2.01,99,$,50-99
CIM032DF 01S,D,1.25,199,$,100-199
CIM032DF 01S,E,1.02,299,$,200-299
CIM032DF 01S,F,0.93,399,$,300-399
CIM032DF 01S,G,0.849,499,$,400-499
CIM032DF 01S,H,0.775,599,$,500-599
CIM032DF 01S,I,0.711,699,$,600-699
CIM032DF 01S,J,0.657,799,$,700-799
CIM032DF 01S,K,0.612,899,$,800-899
CIM032DF 01S,L,0.577,999,$,900-999
CIM032DF 02S,A,6.68,19,$,0-19
CIM032DF 02S,B,3.85,49,$,20-49
CIM032DF 02S,C,2.01,99,$,50-99
CIM032DF 02S,D,1.25,199,$,100-199
CIM032DF 02S,E,1.02,299,$,200-299
CIM032DF 02S,F,0.93,399,$,300-399
CIM032DF 02S,G,0.849,499,$,400-499
CIM032DF 02S,H,0.775,599,$,500-599
CIM032DF 02S,I,0.711,699,$,600-699
CIM032DF 02S,J,0.657,799,$,700-799
CIM032DF 02S,K,0.612,899,$,800-899
CIM032DF 02S,L,0.577,999,$,900-999
CIM032DF 03S,A,6.68,19,$,0-19
CIM032DF 03S,B,3.85,49,$,20-49
CIM032DF 03S,C,2.01,99,$,50-99
CIM032DF 03S,D,1.25,199,$,100-199
CIM032DF 03S,E,1.02,299,$,200-299
CIM032DF 03S,F,0.93,399,$,300-399
CIM032DF 03S,G,0.849,499,$,400-499
CIM032DF 03S,H,0.775,599,$,500-599
CIM032DF 03S,I,0.711,699,$,600-699
CIM032DF 03S,J,0.657,799,$,700-799
CIM032DF 03S,K,0.612,899,$,800-899
CIM032DF 03S,L,0.577,999,$,900-999
CIM032DF 04S,A,6.68,19,$,0-19
CIM032DF 04S,B,3.85,49,$,20-49
CIM032DF 04S,C,2.01,99,$,50-99
CIM032DF 04S,D,1.25,199,$,100-199
CIM032DF 04S,E,1.02,299,$,200-299
CIM032DF 04S,F,0.93,399,$,300-399
CIM032DF 04S,G,0.849,499,$,400-499
CIM032DF 04S,H,0.775,599,$,500-599
CIM032DF 04S,I,0.711,699,$,600-699
CIM032DF 04S,J,0.657,799,$,700-799
CIM032DF 04S,K,0.612,899,$,800-899
CIM032DF 04S,L,0.577,999,$,900-999
CIM032DF 05S,A,6.68,19,$,0-19
CIM032DF 05S,B,3.85,49,$,20-49
CIM032DF 05S,C,2.01,99,$,50-99
CIM032DF 05S,D,1.25,199,$,100-199
CIM032DF 05S,E,1.02,299,$,200-299
CIM032DF 05S,F,0.93,399,$,300-399
CIM032DF 05S,G,0.849,499,$,400-499
CIM032DF 05S,H,0.775,599,$,500-599
CIM032DF 05S,I,0.711,699,$,600-699
CIM032DF 05S,J,0.657,799,$,700-799
CIM032DF 05S,K,0.612,899,$,800-899
CIM032DF 05S,L,0.577,999,$,900-999
CIM032ZU 01S,A,6.68,19,$,0-19
CIM032ZU 01S,B,3.85,49,$,20-49
CIM032ZU 01S,C,2.01,99,$,50-99
CIM032ZU 01S,D,1.25,199,$,100-199
CIM032ZU 01S,E,1.02,299,$,200-299
CIM032ZU 01S,F,0.93,399,$,300-399
CIM032ZU 01S,G,0.849,499,$,400-499
CIM032ZU 01S,H,0.775,599,$,500-599
CIM032ZU 01S,I,0.711,699,$,600-699
CIM032ZU 01S,J,0.657,799,$,700-799
CIM032ZU 01S,K,0.612,899,$,800-899
CIM032ZU 01S,L,0.577,999,$,900-999
CIM032ZU 02S,A,6.68,19,$,0-19
CIM032ZU 02S,B,3.85,49,$,20-49
CIM032ZU 02S,C,2.01,99,$,50-99
CIM032ZU 02S,D,1.25,199,$,100-199
CIM032ZU 02S,E,1.02,299,$,200-299
CIM032ZU 02S,F,0.93,399,$,300-399
CIM032ZU 02S,G,0.849,499,$,400-499
CIM032ZU 02S,H,0.775,599,$,500-599
CIM032ZU 02S,I,0.711,699,$,600-699
CIM032ZU 02S,J,0.657,799,$,700-799
CIM032ZU 02S,K,0.612,899,$,800-899
CIM032ZU 02S,L,0.577,999,$,900-999
CIM032ZU 03S,A,6.68,19,$,0-19
CIM032ZU 03S,B,3.85,49,$,20-49
CIM032ZU 03S,C,2.01,99,$,50-99
CIM032ZU 03S,D,1.25,199,$,100-199
CIM032ZU 03S,E,1.02,299,$,200-299
CIM032ZU 03S,F,0.93,399,$,300-399
CIM032ZU 03S,G,0.849,499,$,400-499
CIM032ZU 03S,H,0.775,599,$,500-599
CIM032ZU 03S,I,0.711,699,$,600-699
CIM032ZU 03S,J,0.657,799,$,700-799
CIM032ZU 03S,K,0.612,899,$,800-899
CIM032ZU 03S,L,0.577,999,$,900-999
CIM032ZU 04S,A,6.68,19,$,0-19
CIM032ZU 04S,B,3.85,49,$,20-49
CIM032ZU 04S,C,2.01,99,$,50-99
CIM032ZU 04S,D,1.25,199,$,100-199
CIM032ZU 04S,E,1.02,299,$,200-299
CIM032ZU 04S,F,0.93,399,$,300-399
CIM032ZU 04S,G,0.849,499,$,400-499
CIM032ZU 04S,H,0.775,599,$,500-599
CIM032ZU 04S,I,0.711,699,$,600-699
CIM032ZU 04S,J,0.657,799,$,700-799
CIM032ZU 04S,K,0.612,899,$,800-899
CIM032ZU 04S,L,0.577,999,$,900-999
CIM032ZU 05S,A,6.68,19,$,0-19
CIM032ZU 05S,B,3.85,49,$,20-49
CIM032ZU 05S,C,2.01,99,$,50-99
CIM032ZU 05S,D,1.25,199,$,100-199
CIM032ZU 05S,E,1.02,299,$,200-299
CIM032ZU 05S,F,0.93,399,$,300-399
CIM032ZU 05S,G,0.849,499,$,400-499
CIM032ZU 05S,H,0.775,599,$,500-599
CIM032ZU 05S,I,0.711,699,$,600-699
CIM032ZU 05S,J,0.657,799,$,700-799
CIM032ZU 05S,K,0.612,899,$,800-899
CIM032ZU 05S,L,0.577,999,$,900-999
CIM040BC 01M,A,6,19,$,0-19
CIM040BC 01M,B,3.44,49,$,20-49
CIM040BC 01M,C,1.75,99,$,50-99
CIM040BC 01M,D,1.11,199,$,100-199
CIM040BC 01M,E,0.93,299,$,200-299
CIM040BC 01M,F,0.85,399,$,300-399
CIM040BC 01M,G,0.775,499,$,400-499
CIM040BC 01M,H,0.709,599,$,500-599
CIM040BC 01M,I,0.652,699,$,600-699
CIM040BC 01M,J,0.603,799,$,700-799
CIM040BC 01M,K,0.561,899,$,800-899
CIM040BC 01M,L,0.529,999,$,900-999
CIM040BC 01S,A,6.68,19,$,0-19
CIM040BC 01S,B,3.85,49,$,20-49
CIM040BC 01S,C,2.01,99,$,50-99
CIM040BC 01S,D,1.25,199,$,100-199
CIM040BC 01S,E,1.02,299,$,200-299
CIM040BC 01S,F,0.93,399,$,300-399
CIM040BC 01S,G,0.849,499,$,400-499
CIM040BC 01S,H,0.775,599,$,500-599
CIM040BC 01S,I,0.711,699,$,600-699
CIM040BC 01S,J,0.657,799,$,700-799
CIM040BC 01S,K,0.612,899,$,800-899
CIM040BC 01S,L,0.577,999,$,900-999
CIM040BC 02M,A,6,19,$,0-19
CIM040BC 02M,B,3.44,49,$,20-49
CIM040BC 02M,C,1.75,99,$,50-99
CIM040BC 02M,D,1.11,199,$,100-199
CIM040BC 02M,E,0.93,299,$,200-299
CIM040BC 02M,F,0.85,399,$,300-399
CIM040BC 02M,G,0.775,499,$,400-499
CIM040BC 02M,H,0.709,599,$,500-599
CIM040BC 02M,I,0.652,699,$,600-699
CIM040BC 02M,J,0.603,799,$,700-799
CIM040BC 02M,K,0.561,899,$,800-899
CIM040BC 02M,L,0.529,999,$,900-999
CIM040BC 02S,A,6.68,19,$,0-19
CIM040BC 02S,B,3.85,49,$,20-49
CIM040BC 02S,C,2.01,99,$,50-99
CIM040BC 02S,D,1.25,199,$,100-199
CIM040BC 02S,E,1.02,299,$,200-299
CIM040BC 02S,F,0.93,399,$,300-399
CIM040BC 02S,G,0.849,499,$,400-499
CIM040BC 02S,H,0.775,599,$,500-599
CIM040BC 02S,I,0.711,699,$,600-699
CIM040BC 02S,J,0.657,799,$,700-799
CIM040BC 02S,K,0.612,899,$,800-899
CIM040BC 02S,L,0.577,999,$,900-999
CIM040BC 03M,A,6,19,$,0-19
CIM040BC 03M,B,3.44,49,$,20-49
CIM040BC 03M,C,1.75,99,$,50-99
CIM040BC 03M,D,1.11,199,$,100-199
CIM040BC 03M,E,0.93,299,$,200-299
CIM040BC 03M,F,0.85,399,$,300-399
CIM040BC 03M,G,0.775,499,$,400-499
CIM040BC 03M,H,0.709,599,$,500-599
CIM040BC 03M,I,0.652,699,$,600-699
CIM040BC 03M,J,0.603,799,$,700-799
CIM040BC 03M,K,0.561,899,$,800-899
CIM040BC 03M,L,0.529,999,$,900-999
CIM040BC 03S,A,6.68,19,$,0-19
CIM040BC 03S,B,3.85,49,$,20-49
CIM040BC 03S,C,2.01,99,$,50-99
CIM040BC 03S,D,1.25,199,$,100-199
CIM040BC 03S,E,1.02,299,$,200-299
CIM040BC 03S,F,0.93,399,$,300-399
CIM040BC 03S,G,0.849,499,$,400-499
CIM040BC 03S,H,0.775,599,$,500-599
CIM040BC 03S,I,0.711,699,$,600-699
CIM040BC 03S,J,0.657,799,$,700-799
CIM040BC 03S,K,0.612,899,$,800-899
CIM040BC 03S,L,0.577,999,$,900-999
CIM040BC 04M,A,6,19,$,0-19
CIM040BC 04M,B,3.44,49,$,20-49
CIM040BC 04M,C,1.75,99,$,50-99
CIM040BC 04M,D,1.11,199,$,100-199
CIM040BC 04M,E,0.93,299,$,200-299
CIM040BC 04M,F,0.85,399,$,300-399
CIM040BC 04M,G,0.775,499,$,400-499
CIM040BC 04M,H,0.709,599,$,500-599
CIM040BC 04M,I,0.652,699,$,600-699
CIM040BC 04M,J,0.603,799,$,700-799
CIM040BC 04M,K,0.561,899,$,800-899
